"","group_id","oelas.cost_share","estim","se","sni2","sni_regime"
"1",1,0.221385328452466,NA,NA,7,2
"2",2,0.492363077291287,0.726427321028936,0.210489222552445,8,2
"3",3,0.441835032992134,NA,NA,10,0
"4",4,0.393060528992598,NA,NA,10,1
"5",5,0.50292305599034,NA,NA,10,2
"6",6,0.583549156370885,NA,NA,13,0
"7",7,0.298497087626801,NA,NA,13,1
"8",8,0.592572070616121,0.795776185647719,0.139662695533253,13,2
"9",9,0.434521967120471,NA,NA,14,0
"10",10,0.398341070702615,NA,NA,14,1
"11",11,0.636217977646178,NA,NA,14,2
"12",12,0.437949397256702,NA,NA,15,0
"13",13,0.403575988501291,NA,NA,15,1
"14",14,0.509208628202472,NA,NA,15,2
"15",15,0.518501423473652,0.732257926792385,0.046110881147721,16,2
"16",16,0.501732920076975,NA,NA,17,0
"17",17,0.62408577465361,NA,NA,17,1
"18",18,0.452010596690923,1.02710290710478,0.18947988923325,17,2
"19",19,0.544625374279883,NA,NA,18,1
"20",20,0.643296716115087,NA,NA,19,0
"21",21,0.606500386861873,NA,NA,19,1
"22",22,0.467012062187242,NA,NA,19,2
"23",23,0.496714752898601,0.658605714321307,0.0794940439639049,20,0
"24",24,0.461281091222683,0.494068826604951,0.113201548322921,20,1
"25",25,0.482107340559489,0.763840518894851,0.0827038034988824,20,2
"26",26,0.355499500203019,NA,NA,21,0
"27",27,0.381067249169502,NA,NA,21,1
"28",28,0.253658756547607,NA,NA,21,2
"29",29,0.556768195586714,NA,NA,22,2
"30",30,0.534074416402213,NA,NA,23,0
"31",31,0.428495940437956,NA,NA,23,1
"32",32,0.428146354425484,0.575998256156593,0.176679479634765,23,2
"33",33,0.40615099784642,0.193569624318333,0.104167751983888,24,0
"34",34,0.414732645078009,0.304363728045399,0.0912845883730316,24,1
"35",35,0.573295665395593,0.557395794866386,0.114868232935744,24,2
"36",36,0.601611560419758,NA,NA,25,0
"37",37,0.441147219564665,NA,NA,25,1
"38",38,0.574162844330737,0.680845245492462,0.131834252615339,25,2
"39",39,0.500739274828261,NA,NA,26,0
"40",40,0.479601654173442,NA,NA,26,1
"41",41,0.467856097866827,0.530382943233054,0.123415345075496,27,0
"42",42,0.453111895577112,0.360651604394633,0.155056201045837,27,1
"43",43,0.484812830953021,NA,NA,27,2
"44",44,0.507628260660314,NA,NA,28,0
"45",45,0.485836007115059,1.71281543792756,0.232041902048544,28,1
"46",46,0.546159355407288,NA,NA,28,2
"47",47,0.544794153471073,NA,NA,29,0
"48",48,0.549828085276389,NA,NA,29,1
"49",49,0.572561696430657,NA,NA,29,2
"50",50,0.500199486211075,NA,NA,30,2
"51",51,0.474934151494978,NA,NA,31,0
"52",52,0.492201686932798,NA,NA,31,1
"53",53,0.485126550246214,NA,NA,31,2
"54",54,0.597980269173713,NA,NA,32,0
"55",55,0.53469055615414,NA,NA,32,2
"56",56,0.7650652831782,NA,NA,33,0
"57",57,0.778895880252716,NA,NA,33,1
"58",58,0.713242954955129,NA,NA,33,2
"59",59,0.367742417226114,NA,NA,34,0
"60",60,0.527501422204347,NA,NA,34,1
"61",61,0.57070618274864,NA,NA,35,0
"62",62,0.350222459569868,NA,NA,35,1
"63",63,0.181204316277366,NA,NA,35,2
"64",64,0.473908606813134,NA,NA,36,1
"65",65,0.0548737344796252,NA,NA,37,0
"66",66,0.051217233016442,NA,NA,37,1
"67",67,0.525128866454736,NA,NA,42,2
"68",68,0.455390218211913,NA,NA,46,2
"69",69,0.657366062725905,NA,NA,47,2
"70",70,0.213432400494334,NA,NA,50,0
"71",71,0.488399516523687,NA,NA,51,0
"72",72,0.499468261125468,NA,NA,51,1
"73",73,0.484407753050969,NA,NA,52,0
"74",74,0.53136816072925,NA,NA,52,1
